epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,2.0065406203269958,0.01,0.9679997579918967,2.1940136194229125,1.0276175022125245
1,1.9887657357586754,0.01,0.969689444038603,2.1906575739383696,0.9793799966573715
2,1.9835976077450646,0.01,0.9680575499931972,2.180026465654373,1.019804984331131
3,1.9530825118223827,0.01,0.9606616606314977,2.0157882273197174,0.9278934717178344
4,1.9071988354126612,0.01,0.9441798561149173,2.1806049764156343,0.9737826973199845
5,1.971441791454951,0.01,0.9624582525756624,2.188879555463791,0.9871856689453125
6,1.826848534742991,0.01,0.9247964060968823,1.3871433764696122,0.7299792319536209
7,1.2474225954877005,0.01,0.7215931706958347,1.3177412629127503,0.6381988674402237
8,1.1255015661319097,0.01,0.6358646450771226,1.9920212388038636,0.8457394927740097
9,1.0010470827420552,0.01,0.6215663565529718,0.4279612109065056,0.376660618185997
10,0.5904962742908133,0.01,0.48350108348661,0.25338401421904566,0.30585384368896484
11,0.1748230184117953,0.01,0.2939512707293034,0.10725273936986923,0.23018444553017617
12,0.06107181088688473,0.01,0.18037297022011545,0.12635652720928192,0.2519269697368145
13,0.02389688489557658,0.01,0.10384872371537818,0.013026165822520853,0.0823551632463932
14,0.009029718327251936,0.01,0.06217410912116369,0.0023934151337016373,0.020689709298312663
15,0.008285848048237515,0.01,0.062193577483089436,0.0019721480071893892,0.018606748338788746
16,0.0015952587264311863,0.01,0.02402050797827542,0.003830581984948367,0.04010852426290512
17,0.002718059922659045,0.01,0.03540878349190785,0.0015577610349282623,0.023352669086307287
18,0.0021120642404437403,0.01,0.027033655842145284,0.0016620054026134311,0.027598993852734566
19,0.002078447673597515,0.01,0.02781324577000406,0.0012375600665109233,0.022395299281924963
20,0.0011357610233163641,0.01,0.02068779509152389,0.0012581591872731224,0.02377266101539135
21,0.0008880392225465686,0.01,0.01789254466485646,0.004851923743262887,0.05529268868267536
22,0.0016776187772241731,0.01,0.025141799659468233,0.0013502266112482176,0.026167777925729753
23,0.001964125062618728,0.01,0.027740665377738574,0.0004973033792339265,0.007678210898302495
24,0.001521622226330995,0.01,0.025833185643164648,0.0005570799185079522,0.01038317969068885
25,0.001253107934644504,0.01,0.020322537802470227,0.0005327487466274761,0.011766424542292953
26,0.0006364891946658544,0.01,0.014482783479616046,0.0025382961961440743,0.038454695232212545
27,0.0011649322530097885,0.01,0.02102136762502293,0.00031724112886877265,0.00632752941455692
28,0.0005037731787524535,0.01,0.012414591878445612,0.0004332007418270223,0.010831824643537402
29,0.0006098702395118178,0.01,0.015877190462520552,0.0004428907952387817,0.013356571225449443
30,0.0004253042561079686,0.01,0.012111936369910837,0.00024489118168276037,0.004899798054248094
