epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,2.0065406289365555,0.01,0.9679997589853074,2.194013613462448,1.0276174902915955
1,1.9887657490041522,0.01,0.9696894427140553,2.190657603740692,0.9793799966573715
2,1.98359761039416,0.01,0.9680575539668401,2.1800264716148376,1.019804972410202
3,1.95373584429423,0.01,0.9601288222604327,2.432130551338196,1.2634559214115142
4,1.9202875468466016,0.01,0.9481622301869922,1.6539000868797302,0.8666854828596116
5,1.689327523112297,0.01,0.8819862766398324,1.7255069434642791,0.8133024841547012
6,1.3065908511479696,0.01,0.7311195154984792,1.305112063884735,0.6601271986961365
7,1.1288510921928618,0.01,0.6344603091478348,1.2819417417049408,0.6422035098075867
8,1.0989663336012099,0.01,0.6115680264102088,1.2675181835889817,0.6828701347112656
9,0.8330704998638895,0.01,0.5654164736469587,0.43184027075767517,0.49485854953527453
10,0.32471029897116954,0.01,0.3439858475079139,0.11779951490461826,0.22438158169388772
11,0.10965666184719237,0.01,0.20880279793507522,0.0745904330164194,0.15512384697794915
12,0.04925836443694102,0.01,0.13507045437064436,0.09340495429933071,0.20821451544761657
13,0.027762730920221655,0.01,0.10186941923780574,0.019260662840679288,0.07227090485394001
14,0.018848693249876508,0.01,0.0841096633631322,0.014811421022750437,0.07437467128038407
15,0.015874836161836155,0.01,0.07962432307087713,0.01258668494410813,0.07395093776285648
16,0.012528833362739532,0.01,0.07188444572190443,0.024742620065808296,0.09568371325731277
17,0.009736361257253318,0.01,0.05820838190201256,0.006869087449740618,0.051214224100112914
18,0.006645284822863889,0.01,0.0411437101299978,0.0055293614626862105,0.045336580090224746
19,0.005494934081475044,0.01,0.0432577162515372,0.002618242800235748,0.023396544344723224
20,0.00899009438289795,0.01,0.06199590997356508,0.00991026647388935,0.06472914144396782
21,0.0033738844037644513,0.01,0.03357456701083316,0.008537305588833987,0.07082839272916316
22,0.004536846046620566,0.01,0.04074381805645923,0.002650889550568536,0.02706700386479497
23,0.004570548944927092,0.01,0.03633115880915688,0.0014373968006111681,0.015022844169288873
24,0.003737545901741315,0.01,0.0363350108369357,0.0014430374299990944,0.016870131995528937
25,0.004437850254018687,0.01,0.0338959626103234,0.0014990643714554608,0.02095970893278718
26,0.0011826914088386628,0.01,0.014030984077706105,0.004142886796034873,0.03840661402791738
27,0.0036588234325689783,0.01,0.03524382080779308,0.0008359525090781972,0.01235856870189309
28,0.0014718848619749124,0.01,0.020080975202533106,0.012154705822467804,0.06993146799504757
