epoch,aux_output1_loss,aux_output1_mean_absolute_error,loss,lr,main_output_loss,main_output_mean_absolute_error,val_aux_output1_loss,val_aux_output1_mean_absolute_error,val_loss,val_main_output_loss,val_main_output_mean_absolute_error
0,2.1023686057991453,0.9666407588455412,4.221010286278195,0.01,2.1186416784922284,0.9656554030047523,1.910264241695404,0.9650785475969315,3.820786011219025,1.9105217695236205,0.9663641422986984
1,2.0548688385221694,0.981073084142473,4.109836718771192,0.01,2.0549678934945,0.9810274723503325,1.909624981880188,0.9616805970668793,3.8192758560180664,1.909650868177414,0.9620142132043839
2,2.054903722471661,0.9815171851052178,4.109910882843865,0.01,2.0550071557362872,0.9814641065067715,1.9087561011314391,0.9540811002254486,3.8173983335494994,1.908642202615738,0.9524492949247361
3,2.0549186474747128,0.98052762415674,4.109938625494639,0.01,2.055019978019926,0.9805582460429934,1.9092736184597014,0.9592902839183808,3.8184590220451353,1.9091853737831115,0.9588871091604233
4,2.054876156648,0.9810993850231171,4.109844468699562,0.01,2.054968328608407,0.9810606300830841,1.9091176748275758,0.958025312423706,3.8181448340415955,1.9090271413326263,0.9575532883405685
5,2.0547835502359604,0.9803744557831022,4.109662340746985,0.01,2.0548787819014653,0.9805658353699578,1.9101287186145783,0.9643127143383026,3.8202342629432677,1.9101055264472961,0.9643844306468964
6,2.054836803674698,0.9814922594361835,4.109752168920305,0.01,2.0549153712060715,0.9813858740859561,1.9091737806797027,0.9584372460842132,3.8181885361671446,1.9090147972106934,0.9574079275131225
7,2.0548105782932704,0.9807062251700296,4.109698669115702,0.01,2.054888098769718,0.9806934389803145,1.9095665216445923,0.9611836850643158,3.8190741777420043,1.9095076739788055,0.9610683619976044
8,2.0547402050760057,0.9805507332086563,4.109532475471497,0.01,2.054792262448205,0.9805022716522217,1.9102702677249908,0.964953500032425,3.820788025856018,1.9105177462100982,0.9662651658058167
9,2.0547487450970543,0.9829406354162428,4.109550560845269,0.0019999999,2.054801811112298,0.9831764873531129,1.909535002708435,0.9609642684459686,3.8189934134483337,1.9094584047794343,0.9607419669628143
10,2.0547127465407056,0.9810458203156789,4.109463735421499,0.0019999999,2.054750965701209,0.9808379769325256,1.9095168232917785,0.9608447551727295,3.818989658355713,1.9094728112220765,0.9608331590890884
11,2.0547017170323265,0.9813688221904967,4.109438914722866,0.0019999999,2.0547371976905398,0.981341509686576,1.909404468536377,0.9600964576005936,3.8187366485595704,1.9093321979045867,0.9598894566297531
12,2.0547093278831907,0.9803408592939377,4.109456691477034,0.0019999999,2.0547473629315696,0.9802058806022008,1.9095704793930053,0.9611787825822831,3.819144535064697,1.9095740795135498,0.9614624679088593
13,2.054710646470388,0.9813981099261178,4.1094603379567465,0.0019999999,2.05474969347318,0.9815175182289547,1.9094449877738953,0.9603651136159896,3.818834161758423,1.909389168024063,0.9602775037288666
14,2.0546813435024687,0.9807545804315143,4.109392619132995,0.00039999996,2.0547112696700625,0.9806529760360718,1.9094547629356384,0.9604298830032348,3.8188599824905394,1.9094051837921142,0.9603841871023178
15,2.0546832515133753,0.9808659583330155,4.109396966298421,0.00039999996,2.054713714785046,0.9808140099048615,1.909458464384079,0.9604541689157486,3.8188701629638673,1.9094116985797882,0.9604276567697525
16,2.0546805991066828,0.9810945596959856,4.109390817748176,0.00039999996,2.054710218641493,0.9811193833748499,1.90945143699646,0.960406768321991,3.8188533782958984,1.9094019412994385,0.9603621482849121
17,2.0546815746360356,0.980935870938831,4.109393082724678,0.00039999996,2.054711522658666,0.9809110585186217,1.909451961517334,0.9604093819856644,3.818855309486389,1.9094033241271973,0.9603712350130081
18,2.0546813958221013,0.9809988912608888,4.109392710526785,0.00039999996,2.0547113206651475,0.9809984134303199,1.9094495594501495,0.9603928834199905,3.8188499093055723,1.909400361776352,0.9603509783744812
19,2.05467645128568,0.9808503568172455,4.10938140683704,7.999999e-05,2.0547049396567876,0.9808052208688524,1.9094503283500672,0.9603979349136352,3.8188519954681395,1.9094016611576081,0.9603596508502961
20,2.0546763810846542,0.9809061576922734,4.109381169743008,7.999999e-05,2.0547048151493073,0.9808795005083084,1.9094507694244385,0.9604005545377732,3.8188531160354615,1.909402322769165,0.9603642135858536
21,2.054676361216439,0.9809052937560612,4.109381137953864,7.999999e-05,2.054704766803318,0.9808796624342601,1.9094510436058045,0.9604029387235642,3.818854057788849,1.909403032064438,0.9603686481714249
22,2.0546763764487372,0.9808716578616037,4.109381226698558,7.999999e-05,2.0547048303816053,0.9808371457788679,1.9094516336917877,0.9604064017534256,3.8188555955886843,1.909403920173645,0.9603745132684708
23,2.0546764274438223,0.9808472298913532,4.109381312794156,7.999999e-05,2.0547049012449055,0.9808066248893738,1.9094523191452026,0.9604107230901718,3.8188574075698853,1.9094050765037536,0.9603820413351059
24,2.054675433370802,0.980888714061843,4.109379045168558,1.5999998e-05,2.0547036058372923,0.9808619108464983,1.9094523429870605,0.9604111760854721,3.8188575506210327,1.9094052255153655,0.960382941365242
25,2.054675442642636,0.9808858527077569,4.109379065036774,1.5999998e-05,2.054703630341424,0.9808584090736178,1.9094524383544922,0.9604115217924118,3.818857717514038,1.9094052851200103,0.9603835463523864
